tipos,descripcion
ENFJ,grande creyente gente
ENTJ,"strong - willed - tampoco rendir coser poner difícil - comandante esforzar lograr objetivo , realidad satisfacer enfrentar desafiar cada obstáculo carrera hacia líneo meter ."
ENTP,"lluvia ideo excelente : tan agradable debaters analizar problema ángulo encontrar mejorar solucionar . combinar conocimiento originalidad exponer cada aspecto temer cuestión , rechazar remordimiento opción funcionar presentar cada vez posibilidad , debaters insustituible sesión lluvia ideo ."
ISFJ,"verdadero altruista , responder amabilidad amabilidad comprometer trabajar personar creer entusiasmar generosidad ."
ESFJ,"preferir eludir conflicto , individuo emplear mucho energía establecer orden social preferir plan actividad organizar actividad límite preestablecer encuentro espontáneo . personar poner esforzar actividad planificar , fácil herir sentimiento si ideo rechazar si gente simplemente interesar . nuevo , importante recordar provenir mismo lugar , desinterés observación crítico hacia actividad organizar ; simplemente temer preferir ."
ESFJ,"inflexible : dar mucho importancia socialmente aceptable poder ser cauteloso , incluso crítico cualquiera coser convencional corriente principal . personar vez poder presionar demasiar propio creencia esforzar establecerlas corriente principal ."
INFJ,"mundo lugar llenar desigualdad , deber ser asir . ninguno adecuar crear movimiento corregir error , importar cuán grande pequeño ser . recordar mientras ocupar cuidar mundo , necesitar cuidar mismo . creativo : combinar imaginación vívido fuerte compasión , usar creatividad resolver desafío técnico , sino humano . personar advocate disfrutar encontrar solución perfecto alguien importar . fortaleza convertir excelente consejero asesorar ."
INTP,"hacer parecer fiable , realidad nadie entusiasta capaz detectar problema , penetrar factor interminable detalle abarcar temer desarrollar solución único viable lógico ; sí , esperar informe puntual progresar . personar compartir interesar actividad práctico día día mantenimiento , encontrar entornar genio creativo potencial poder expresar , límite tiempo energía disponer emplear desarrollar solución perspicaz imparcial . sabiduría comenzar preguntándose mismo"
ISTP,aburrir mundo acordar contigo
ESFP,"desenfocar : cualquiera coser requerir dedicación enfocar largar plazo desafiar particular artista . ámbito académico , materia denso inmutable , literatura clásico , difícil materia dinámico relacionar , psicología . trucar artista encontrar alegría día día objetivo amplio , hacer frente tedioso coser deber hacerse ."
ISFJ,"desafiar asegurarse hacer noto . tender subestimar logro aunque normalmente respetar bueno corazón , gente cínico egoísta aprovechar dedicación humildad haciéndoles trabajar luego ser recibir honorar . necesitar saber cuándo decir plantarse mismo si querer mantener confianza entusiasmar ."
ESFJ,conexión harmonioso
INTP,"particularmente exaltar , conversación rozar incoherencia intentar explicar conexión cadena conclusión lógico dar lugar formación último ideo . mucho vez , optar simplemente cambiar temer entender tratar decir , lugar tratar explicar coser formar simple ."
ISTP,"encontrar entornar poder trabajar bueno amigo entender estilar imprevisibilidad , combinar creatividad , humor enfocar práctico construir solucionar práctico coser , ofrecer año feliz construir coser útil contemplándolas exterior . optimista enérgico : soler altura proyectar u otro . alegre afable , personar ( especialmente asertivo ) raro vez estresan , preferir seguir corriente ."
ENTP,"experimentar cierto placer hacerse víctima , innovador disfrutar ejercicio mental cuestionar modo predominante pensamiento , hacer insustituible revisar sistema existente sacudir coser empujarlas hacia nuevo ingenioso direccionar . embargar , desastroso hora gestionar aspecto práctico día día implementar realmente sugerencia . individuo encantar lluvia ideo pensar grande , tratar evitar todo costa versar inmerso trabajar durar tedioso . innovador representar alrededor tres ciento población , bien permitir crear ideo original luego dar pasar atrás dejar orientar hacia trabajar tedioso minucioso , numeroso , manejar logístico implementación mantenimiento ."
ENTP,"vez asegurar posición particular , innovador necesitar recordar ideo llegar bueno término siempre ir depender ensamblar pieza : si necesitar tiempo “ ganar ” argumento emplear lograr consenso , innovador considerar simplemente apoyar necesario triunfar . hacer tan bien diablo , personar poder darse contar complejo gratificante desafiar intelectual entender perspectivo sentimental , argumentar consideración compromiso juntar progresar . conocido : debatir raramente dejar pasar bueno oportunidad aprender nuevo , especialmente concepto abstracto . información generalmente absorber ninguno propósito planificar , estudiar dedicar , personar simplemente encontrar fascinante ."
INTJ,"demasiar analítico : temer repetir discutir fortaleza habilidad analítico . fortaleza fallarles factor importante . relacionar , todo complejidad , menudo resistir explicación claro . poder ser crítico y , vez , alcanzar alto nivel minuciosidad exigente tratar otro . punto , probable mucho personar , excepción amigo extremadamente leal comprensivo , huir , vez volver ver ."
ENFJ,"protagonista vulnerable caer trampa : enorme capacidad reflexionar analizar propio sentimiento , si ver demasiar atrapar situación difícil personar , poder desarrollar especie hipocondría emocional ver problema personar mismo intentar arreglar mismo realidad mal . si llegar ver frenar limitación experimentar , posible protagonista problema ver allá dilema servir ayudar . suceder , importante detenerse autoreflexionar distinguir realmente asunto independiente estudiar perspectivo ."
ISFP,"artístico : poder mostrar creatividad manera tangible belleza deslumbrante . escribir canción , pintar emoción presentar estadístico gráfico , formar visualizar coser resonar audiencia . ferozmente independiente : libertar expresión menudo principal prioridad aventurero . cualquiera coser interferir ese , tradición reglar estricto , creer sensación opresión aventurero . hacer académico rígidamente estructurar trabajar desafiar ."
ISFP,"imaginativo : ser tan consciente emocionar demás , utilizar creatividad perspicacia crear ideo audaz hablar corazón personar . si bien difícil explicar calidad currículum , vívido imaginación espíritu exploratorio ayudar manera inesperado ."
ESFP,"original : tradición expectativa secundario artista , si contar . artista encantar experimentar nuevo estilo constantemente encontrar nuevo formar sobresalir multitud ."
ENTJ,"enérgico : lugar encontrar procesar imponer impuesto comandante , animar , realmente disfrutar llevar equipo hacia adelantar medir implementar plan objetivo ."
ENTP,"táctico deber confundirse comprensión mutuo buscar grupo diplomático ; innovador buscar constante conocimiento ¿ qué mejor manera ganar atacar defender ideo , ángulo , punto vestir ?"
INTJ,"independiente decisivo : creatividad , confianza formar individuo mantener solo responsabilizar accionar . figurar autoridad impresionar arquitecto , tampoco convención social . importar cuán popular algo , si mejor ideo , oponer cualquiera promover plan . ideo racional mal , feliz aplicar estándar mismo ."
ISTJ,"dedicación excelente cualidad , permitir lograr grande coser , debilidad fundamental personar menos escrúpulo aprovechar . buscar estabilidad seguridad , considerar deber mantener bueno funcionamiento poder descubrir compañero trabajar parejo endosar responsabilidad saber siempre ir aceptar . soler guardar opinión mismo dejar hecho hablar solo , pasar bueno tiempo evidenciar observable contar todo historia ."
ISTJ,"personar deber recordar cuidar mismo ; dedicación obstinar estabilidad eficiencia comprometer objetivo largar plazo medir demás apoyar cada vez ellos , crear tensión emocional ser expresar año , salir luz último hora demasiar tardar arreglarlo . si poder encontrar compañero trabajar parejo realmente apreciar complementar cualidad , disfrutar luminosidad , claridad confianza ofrecer , dar contar papel estabilizador tremendamente satisfactorio saber formar partir sistema funcionar . honestar directo : integridad corazón logístico . manipulación emocional , juego mental mentira tranquilizador ir preferencia especialista logístico manejar realidad situación enfrentar simple simple honestidad ."
ESFP,"aversión conflicto : artista vez ignorar evitar conflicto completar . tender decir hacer necesitar salir talar situación , luego pasar divertir ."
ISFP,venturero siempre saber cuál cumplir elogiar ablandar corazón decir riesgo irresponsable imprudente .
ESTP,"teoría , concepto abstracto largo discusión temer global consecuencia captar interés emprendedor tiempo . hablar mucho energía bueno dosis inteligencia , gustar hablar coser o , mejor aun , simplemente hacerlas . lanzar acción pensar corregir error marchar lugar sentarse hacer nadar , preparar imprevisto disponer solucionar . nunca confundir movimiento acción"
ENFJ,"líder natural : buscar autoridad mismo , protagonista menudo terminar rolar liderazgo pedir otro , alentar admirador fuerte visión positivo . demasiar idealista : personar poder ser tomar sorpresa descubrir que , circunstancia naturaleza , simplemente malentendido , personar luchar desafiar principio adoptar , bien intencionado ser . probable sentir lástima oposición ira , poder ganarse reputación ingenuidad ."
ESTP,"vez , observación acción instantáneo justar necesitar , entorno empresarial y , todo , situación emergencia ."
ENFJ,"personar altruista apasionar , vez incluso demasiar , probable miedo sufrir adversidad defender personar ideo creer . extrañar protagonista famoso político influyente líder cultural ; querer liderar caminar hacia futuro brillante , dirigir nación hacia prosperidad liderar pequeño equipar softball ligar victoria disputar . tolerante : protagonista verdadero jugador equipar , reconocer significar escuchar opinión personar , incluso contradecir suyo . admitir todo respuesta y , menudo , receptivo disenso , siempre seguir ser constructivo ."
ENTJ,"arrogante : comandante respetar pensamiento rápido convicción firme , propio cualidad despreciar coincidir . relación desafiar mayoría tipo tal vez tímido derecho propio , parecer lado dominante ."
INFP,"dedicar trabajador : mientras centrar desafío momento poder darse vencer coser poner difícil , mediador ( especialmente asertivo ) beneficiar visión largar alcanzar ayudarlos superarlos . saber hacer significativo dar personar propósito incluso coraje tratar lograr creer . demasiar idealista : mediador menudo llevar idealismo demasiar lejos , preparándose decepción que , vez , suceder coser malo mundo . cierto nivel personal , mediador poder idealizar parejo , sino idolatrarlas , olvidar nadie perfecto ."
ENFP,"embargar , individuo activista tener cuidar confiar demasiar intuición , asumir anticipar demasiar motivación amigar , poder leer mal señalar frustrar plan enfocar sencillo hacer simple . estrés social pesadilla mantener amante armonía despierto noche . sensible entrar conflicto alguien , ambos sentir ."
ENTJ,"si alguien respetar capaz enfrentarse intelectualmente , capaz actuar precisión calidad igual suyo . individuo comandante habilidad especial hora identificar talento demás , ayudar esfuerzo formar equipo ( ya nadie , importar talentoso ser , hacer mismo ) tarea evitar demostrar demasiar arrogancia condescendencia . embargar , habilidad particular señalar fracaso demás manera frío insensible , aquí realmente empezar tener problema ."
ISTP,"insensible : usar lógico , incluso intentar encontrarse mitad caminar empatía sensibilidad emocional , raro vez parecer salir bien , si decir algo ."
